Timestamp,Business_Num,Business_Name,Details
2024-12-15 19:55:27,1486180,오마카세오사이초밥부평점,성공적으로 메뉴 추출 완료
2024-12-15 19:57:41,1486186,네모,성공적으로 메뉴 추출 완료
2024-12-15 19:59:04,1486190,대륙 회 수산,성공적으로 메뉴 추출 완료
2024-12-15 20:00:14,1486193,오롯이 담아내다,성공적으로 메뉴 추출 완료
2024-12-15 20:00:42,1486194,조선 한우촌,성공적으로 메뉴 추출 완료
2024-12-15 20:02:48,1486201,스텔라떡볶이 인천주안아인병원점,성공적으로 메뉴 추출 완료
2024-12-15 20:03:38,1486203,성삼목,성공적으로 메뉴 추출 완료
2024-12-15 20:07:41,1486216,제주돈삼겹 모슬포점,성공적으로 메뉴 추출 완료
2024-12-15 20:12:51,1486231,샤브20시지점,성공적으로 메뉴 추출 완료
2024-12-15 20:14:22,1486235,사이공본가 지축점,성공적으로 메뉴 추출 완료
2024-12-15 20:17:53,1486245,깨통닭,성공적으로 메뉴 추출 완료
2024-12-15 20:20:45,1486253,배방호떡,성공적으로 메뉴 추출 완료
2024-12-15 20:22:18,1486257,춘천골 닭갈비 남양주다산점,성공적으로 메뉴 추출 완료
2024-12-15 20:23:31,1486261,고기듬뿍 국물두루치기 영종점,성공적으로 메뉴 추출 완료
2024-12-15 20:24:19,1486263,짬뽕잘볶는중국집,성공적으로 메뉴 추출 완료
2024-12-15 20:25:27,1486266,유메오뎅원주기업도시,성공적으로 메뉴 추출 완료
2024-12-15 20:33:52,1486292,노티드 안성스타필드,성공적으로 메뉴 추출 완료
2024-12-15 20:34:20,1486293,토담 교동 해장국,성공적으로 메뉴 추출 완료
2024-12-15 20:35:43,1486297,파머스포케 성남금광점,성공적으로 메뉴 추출 완료
2024-12-15 20:36:14,1486298,2피자1치킨상회(영양점),성공적으로 메뉴 추출 완료
2024-12-15 20:42:37,1486321,남매컵밥 상남점,성공적으로 메뉴 추출 완료
2024-12-15 20:44:40,1486327,우월한가,성공적으로 메뉴 추출 완료
2024-12-15 20:45:50,1486330,서울왕보리밥칼국수,성공적으로 메뉴 추출 완료
2024-12-15 20:46:55,1486333,듀커피,성공적으로 메뉴 추출 완료
2024-12-15 20:47:21,1486334,7090퀸즈라이브,성공적으로 메뉴 추출 완료
2024-12-15 20:47:49,1486335,제이델링 베이커리카페 가경점,성공적으로 메뉴 추출 완료
2024-12-15 20:53:22,1486352,홍게 잔칫날,성공적으로 메뉴 추출 완료
2024-12-15 20:54:03,1486354,스텔라떡볶이 경남김해장유점,성공적으로 메뉴 추출 완료
2024-12-15 20:54:30,1486355,부원1번뒷고기,성공적으로 메뉴 추출 완료
2024-12-15 20:56:13,1486360,정희 롯데백화점광복점,성공적으로 메뉴 추출 완료
2024-12-15 20:57:02,1486362,카페 리프,성공적으로 메뉴 추출 완료
2024-12-15 20:58:12,1486365,"살랑바람과커피,오라",성공적으로 메뉴 추출 완료
2024-12-15 20:59:38,1486369,우체국옆떡볶이,성공적으로 메뉴 추출 완료
2024-12-15 21:00:52,1486373,수봉포차,성공적으로 메뉴 추출 완료
2024-12-15 21:02:10,1486377,이자카야 룡팔,성공적으로 메뉴 추출 완료
2024-12-15 21:04:21,1486384,영진슈퍼 쌍촌점,성공적으로 메뉴 추출 완료
2024-12-15 21:09:44,1486400,담가화로구이 구리갈매점,성공적으로 메뉴 추출 완료
2024-12-15 21:10:51,1486403,다우리 두루치기,성공적으로 메뉴 추출 완료
2024-12-15 21:12:41,1486408,정각 전주점,성공적으로 메뉴 추출 완료
2024-12-15 21:13:42,1486411,육채미 파주운정점,성공적으로 메뉴 추출 완료
2024-12-15 21:14:44,1486414,히든에이스 홀덤펍 명지점,성공적으로 메뉴 추출 완료
2024-12-15 21:24:14,1486444,여남닭칼국수,성공적으로 메뉴 추출 완료
2024-12-15 21:25:14,1486446,두찜 인천간석점,성공적으로 메뉴 추출 완료
2024-12-15 21:27:22,1486453,가마로닭강정<둔산점>,성공적으로 메뉴 추출 완료
2024-12-15 21:31:44,1486467,족발마을,성공적으로 메뉴 추출 완료
2024-12-15 21:32:33,1486469,든든한김밥,성공적으로 메뉴 추출 완료
2024-12-15 21:34:50,1486475,포심,성공적으로 메뉴 추출 완료
2024-12-15 21:35:24,1486476,우이락 창원어반브릭스점,성공적으로 메뉴 추출 완료
2024-12-15 21:35:52,1486477,대세박목살통영죽림점,성공적으로 메뉴 추출 완료
2024-12-15 21:39:48,1486488,유리네돌판생삼겹,성공적으로 메뉴 추출 완료
2024-12-15 21:43:29,1486499,제비파스타＆리조또 양평점,성공적으로 메뉴 추출 완료
2024-12-15 21:44:32,1486502,집구석,성공적으로 메뉴 추출 완료
2024-12-15 21:46:40,1486508,이월어울림분식,성공적으로 메뉴 추출 완료
2024-12-15 21:51:24,1486522,간바레니카상양갈비숯불구이전문점,성공적으로 메뉴 추출 완료
2024-12-15 21:54:57,1486533,땡기는김밥,성공적으로 메뉴 추출 완료
2024-12-15 21:56:21,1486538,첨단공원국밥 나주혁신점,성공적으로 메뉴 추출 완료
2024-12-15 21:57:20,1486541,스시이신,성공적으로 메뉴 추출 완료
2024-12-15 21:57:48,1486542,강남맛돈,성공적으로 메뉴 추출 완료
